"Story","Title","Result","Date","Stability","Duration (s)"
"Title of your feature","Comparacion agrega productos celular a canasta","ERROR","22:13:24","0.0","0.76"
"Validacion todos los escenarios","Comparacion agrega productos celular a canasta","SUCCESS","20:11:42","0.0","63.25"
